Take,Clip ID,Timecode,Duration,What to Capture,Status
REC-01,01a,0:32-0:38,6s,GitHub repo landing,⬜
REC-01,01b,0:38-0:44,6s,App landing page,⬜
REC-01,01c,0:50-0:58,8s,Prompt list view,⬜
REC-01,01d,0:58-1:04,6s,Running a prompt,⬜
REC-02,02a,1:04-1:12,8s,Embedded metrics dashboard,⬜
REC-02,02b,1:12-1:20,8s,Datadog trace view,⬜
REC-02,02c,1:20-1:26,6s,Token count breakdown,⬜
REC-02,02d,1:26-1:32,6s,Trace waterfall,⬜
REC-03,03a,1:32-1:40,8s,Error rate monitor,⬜
REC-03,03b,1:40-1:46,6s,Latency monitor,⬜
REC-03,03c,1:46-1:52,6s,Token budget monitor,⬜
REC-04,04a,1:56-2:00,4s,Incident triggers,⬜
REC-04,04b,2:04-2:12,8s,Runbook view,⬜
REC-04,04c,2:12-2:18,6s,Alert notification,⬜
REC-05,05a,2:18-2:24,6s,Failure detected,⬜
REC-05,05b,2:24-2:28,4s,Auto-heal triggers,⬜
REC-05,05c,2:36-2:40,4s,Diff view of fix,⬜
REC-05,05d,2:40-2:44,4s,Step function diagram,⬜
