ID,Shot Name,Timecode,Duration,Image Prompt,Video Prompt,Status,Notes
GEN-01,Title Card,0:00-0:04,4s,"Cinematic title card ""PROMPT PROMPTER"" bold sans-serif centered, dark charcoal background, purple neon glow from letters, subtle data particles frozen mid-flow, 16:9, 4K","[From image] Slow zoom toward title, purple glow pulses, particles flow upward, atmospheric, 4 seconds",⬜,Opening shot
GEN-02,Ship It Key,0:04-0:08,4s,"Extreme macro mechanical keyboard keycap ""SHIP IT"" white text, purple LED backlight, frozen dust particles, dark environment, shallow depth of field, 16:9, 4K","[From image] Key presses down slow-mo, purple LED flares, dust scatters, key rebounds, satisfying click, 4 seconds",⬜,Tactile moment
GEN-03,Diving Tokens,0:08-0:18,10s,"Silhouette diving into digital ocean of floating code tokens, blue-to-purple gradient, god rays through data, massive ""2,000,000,000"" counter glowing in the depths below, 16:9, 4K","[From image] Silhouette dives deeper, tokens swirl, counter rapidly increments to 2 billion with flash, camera pushes through, 10 seconds",⬜,"Combined: deep end + counter"
GEN-04,Escher Iterate,0:18-0:26,8s,"Impossible Escher staircase made of IDE windows, small figure climbing, purple paint cascading down, trophy and confessional booth floating in background, surrealist tech art, 16:9, 4K","[From image] Purple paint pours down stairs, figure climbs, camera pulls back revealing infinite loop, trophy and booth rotate slowly, 8 seconds",⬜,"Combined: stairs + confession"
GEN-05,Purple Muted,0:26-0:32,6s,"Color saturation meter pegged past maximum into purple zone, audio waveform flatlined below, minimalist dark background, thin purple neon outlines, 16:9, 4K","[From image] Saturation meter needle slams past max, waveform flatlines with dying pulse, glitch effect, ends still, 6 seconds",⬜,"Combined: saturation + flatline"
GEN-06,Transform,0:46-0:50,4s,"Split composition: left side messy paint splashes, right side clean architectural blueprint, glowing dividing line, transformation metaphor, 16:9, 4K","[From image] Paint dissolves transforming into wireframe, chaos becomes order, satisfying morph, 4 seconds",⬜,"Art → Engineering"
GEN-07,Burning,1:52-1:56,4s,"Money and tokens burning, dollar bills dissolving to embers, red warning indicators, dark smoky background, urgent aesthetic, 16:9, 4K","[From image] Money actively burns, embers rise, warnings flash red, urgent drain visualization, 4 seconds",⬜,Budget killers
GEN-08,Collab,2:00-2:04,4s,"Two silhouettes facing holographic dashboard, one human one AI robot, purple glow illuminating both, collaborative pose, cinematic, 16:9, 4K","[From image] Both figures gesture at dashboard, data animates on screen, purple glow pulses, collaborative, 4 seconds",⬜,"Human + AI"
GEN-09,Healing Solo,2:28-2:36,8s,"Code text transforming into metallic pipe with purple veins, solo developer silhouette at desk in background, monitors glowing, contemplative, 16:9, 4K","[From image] Code completes morph to pipe, veins pulse, camera slowly pulls back revealing solo dev, monitors flicker, contemplative, 8 seconds",⬜,"Combined: morph + dev"
GEN-10,End Card,2:44-2:48,4s,"""PROMPT PROMPTER"" logo centered, ""github.com/aegntic/prompt-prompter"" below, ""Built with Vertex AI Gemini + Datadog"" with logos, dark background, purple particles, 16:9, 4K","[From image] Purple particles drift gently, text static and readable, professional end card, 4 seconds",⬜,CTA closing
